,PC,Address,Recency,Frequency
0,0xfc9d5d,0xbfe9d3b0,0,299327
1,0xfc9d62,0xbfe9d058,3,1
2,0xfc9d6b,0xbfe9d3b4,0,299327
3,0xfc9d6d,0xbfe9d054,7,1
4,0xfc9d5d,0xbfe9d3b8,0,299327
5,0xfc9d6b,0xbfe9d3bc,1,6
6,0xfc9e83,0xbfe9d3c0,0,299327
7,0xfc9e86,0xfd0f0c,4,104
8,0xfc9e5d,0xbfe9d3c8,0,299327
9,0xfc9e6b,0xbfe9d3cc,0,299327
10,0xfc9e6d,0xfd0cac,8,71
11,0xfcc0b2,0xbfe9d038,19,56
12,0xfcc0c6,0xbfe9d034,8,56
13,0xfc9a6b,0xbfe9d04c,1,1
14,0xfc9a7b,0xbfe9d048,14,4
15,0xfc9a81,0xbfe9d044,7,5
16,0xfc9a87,0xbfe9d0ee,0,299327
17,0xfc9aa9,0xbfe9d0ef,0,299327
18,0xfc9ae5,0xbfe9d0f0,3,147132
19,0xfc9aa9,0xbfe9d0f1,0,299327
20,0xfc9ae5,0xbfe9d0f2,0,299327
21,0xfc9aa9,0xbfe9d0f3,0,299327
22,0xfc9f0b,0xbfe9d0f4,34,1
23,0xfc9d01,0xbfe9d0f5,0,299327
24,0xfc9d01,0xbfe9d0f6,0,299327
25,0xfc9d01,0xbfe9d0f7,0,299327
26,0xfc9d01,0xbfe9d0f8,18,147107
27,0xfc9d01,0xbfe9d0f9,0,299327
28,0xfc9d01,0xbfe9d0fa,0,299327
29,0xfc9d01,0xbfe9d0fb,0,299327
30,0xfc9d01,0xbfe9d0fc,0,299327
31,0xfc9d01,0xbfe9d0fd,0,299327
32,0xfc9d01,0xbfe9d0fe,0,299327
33,0xfc9d01,0xbfe9d0ff,0,299327
34,0xfc9d01,0xbfe9d100,0,299327
35,0xfc9d01,0xbfe9d101,0,299327
36,0xfc9b39,0xfd0ca8,9,2072
37,0xfc9b99,0xfd0ca4,55,18
38,0xfc9bae,0xfd0e28,3,1212
39,0xfc9bb4,0xbfe9d050,1,1
40,0xfc9bcd,0xfd0e24,2,1
41,0xfcac20,0xbfe9d030,5,8
42,0xfcac23,0xbfe9d02c,5,6
43,0xfcac27,0xbfe9d028,7,1
44,0xfcac3d,0xfd14bc,2,5
45,0xfc9c08,0xfd0cac,7,432
46,0xfc9c12,0xbfe9d3db,26,4
47,0xfcc623,0xbfe9d3dc,24,1589
48,0xfc9c2d,0xfd0cb0,1,422
49,0xfcac76,0xbfe9d024,7,9
50,0xfcac7f,0xbfe9d01c,4,1
51,0xfcac97,0xfd14ac,0,299327
52,0xfc9c47,0xfd0f0c,3,19
53,0xfc9c55,0xbfe9d060,0,299327
54,0xfc9c61,0xbfe9d064,0,299327
55,0xfc9c67,0xbfe9d040,2,111
56,0xfc9c6b,0xbfe9d03c,10,246
57,0xfc9c72,0xbfe9d254,11,115474
58,0xfbb4bc,0xbfe9cd38,47,1
59,0xfbb4c7,0xbfe9cf2f,1,263
60,0xfbb4da,0xfd11bc,17,1246
61,0xfbb4e0,0xfd14d0,0,299327
62,0xfbb4ec,0xfd1404,18,119834
63,0xfbb4fe,0xfd1434,1,119842
64,0xfbb50c,0xbfe9cf88,93,11
65,0xfbb518,0xfd1400,18,119836
66,0xfbb522,0xfd140c,1,119838
67,0xfbb52b,0xbfe9cf2e,1,28217
68,0xfbb532,0xbfe9cf2d,3,312
69,0xfbb539,0xbfe9cf20,65,84
70,0xfbb53f,0xbfe9cf1c,92,86
71,0xfbb548,0xfd0e0c,0,299327
72,0xfca5d0,0xbfe9cd34,53,76
73,0xfca5d5,0xbfe9cd30,46,74
74,0xfca5da,0xbfe9d2cc,47,132671
75,0xfca5e0,0xbff4e995,47,132671
76,0xfca5e8,0xbfe9d2d0,47,132671
77,0xfca5e0,0xbff4e9b1,47,132671
78,0xfca5e8,0xbfe9d2d4,47,132671
79,0xfca5e0,0xbff4e9e7,47,132671
80,0xfca5e8,0xbfe9d2d8,47,132671
81,0xfca5e0,0xbff4e9f2,47,132671
82,0xfca5e8,0xbfe9d2dc,47,132671
83,0xfca5e0,0xbff4ea02,47,132671
84,0xfca5e8,0xbfe9d2e0,47,132671
85,0xfca5e0,0xbff4ea0f,47,132671
86,0xfca5e8,0xbfe9d2e4,47,132671
87,0xfca5e0,0xbff4ea37,47,132671
88,0xfca5e8,0xbfe9d2e8,47,132671
89,0xfca5e0,0xbff4ea4d,47,132671
90,0xfca5e8,0xbfe9d2ec,47,132671
91,0xfca5e0,0xbff4ea60,47,132671
92,0xfca5e8,0xbfe9d2f0,47,132671
93,0xfca5e0,0xbff4ea6e,47,132671
94,0xfca5f3,0xbff4ea6f,0,299327
95,0xfca5e8,0xbfe9d2f4,47,132670
96,0xfca5e0,0xbff4ec31,47,132670
97,0xfca5e8,0xbfe9d2f8,47,132670
98,0xfca5e0,0xbff4ec3d,47,132670
99,0xfca5e8,0xbfe9d2fc,47,132670
100,0xfca5e0,0xbff4ec48,47,132670
101,0xfca5e8,0xbfe9d300,47,132672
102,0xfca5e0,0xbff4ec66,47,132672
103,0xfca5e8,0xbfe9d304,47,132672
104,0xfca5e0,0xbff4ed02,47,132672
105,0xfca5e8,0xbfe9d308,47,132672
106,0xfca5e0,0xbff4ed17,47,132672
107,0xfca5e8,0xbfe9d30c,47,132672
108,0xfca5e0,0xbff4ed60,47,132672
109,0xfca5e8,0xbfe9d310,47,132672
110,0xfca5e0,0xbff4ed80,47,132672
111,0xfca5e8,0xbfe9d314,47,132672
112,0xfca5e0,0xbff4ed8a,47,132672
113,0xfca5f3,0xbff4ed8b,0,299327
114,0xfca5e8,0xbfe9d318,47,132671
115,0xfca5e0,0xbff4edf4,47,132671
116,0xfca5e8,0xbfe9d31c,47,132671
117,0xfca5e0,0xbff4ee27,47,132671
118,0xfca5e8,0xbfe9d320,47,132671
119,0xfca5e0,0xbff4ee96,47,132671
120,0xfca5e8,0xbfe9d324,47,132671
121,0xfca5e0,0xbff4ee9e,47,132671
122,0xfca5e8,0xbfe9d328,47,132671
123,0xfca5e0,0xbff4eeb2,47,132671
124,0xfca5f3,0xbff4eeb3,0,299327
125,0xfca5e8,0xbfe9d32c,47,132670
126,0xfca5e0,0xbff4eeca,47,132670
127,0xfca5f3,0xbff4eecb,0,299327
128,0xfca5e8,0xbfe9d330,47,132669
129,0xfca5e0,0xbff4eedb,47,132669
130,0xfca5e8,0xbfe9d334,47,132669
131,0xfca5e0,0xbff4eeeb,47,132669
132,0xfca5e8,0xbfe9d338,47,132669
133,0xfca5e0,0xbff4eef5,47,132669
134,0xfca5e8,0xbfe9d33c,47,132669
135,0xfca5e0,0xbff4ef37,47,132669
136,0xfca5f3,0xbff4ef38,0,299327
137,0xfca5e8,0xbfe9d340,47,132668
138,0xfca5e0,0xbff4ef59,47,132668
139,0xfca5e8,0xbfe9d344,47,132668
140,0xfca5e0,0xbff4ef95,47,132668
141,0xfca5e8,0xbfe9d348,47,132668
142,0xfca5e0,0xbff4efaa,47,132668
143,0xfca5e8,0xbfe9d34c,47,132668
144,0xfca5e0,0xbff4efb7,47,132668
145,0xfca5e8,0xbfe9d350,47,132668
146,0xfca5f0,0xbfe9cd30,45,16
147,0xfca5f1,0xbfe9cd34,52,14
148,0xfbb559,0xbfe9cf24,120,115451
149,0xfbb5c5,0xbfe9cf20,64,115450
150,0xfbb5cd,0xbfe9cf90,70,281
151,0xfbb5d9,0xfd0ee4,0,299327
152,0xfbb5e6,0xbfe9cf1c,91,115448
153,0xfbb5f8,0xbfe9d040,1,134
154,0xfbb601,0xbfe9d068,2,137
155,0xfbb609,0xbfe9cd3c,485,92
156,0xfbb614,0xbfe9cd40,164,114
157,0xfbb620,0xbfe9cd44,50,95
158,0xfc35a4,0xbfe9cd2c,34,120
159,0xfc35a5,0xbfe9cd28,35,118
160,0xfc35a9,0xbfe9ccf8,40,1
161,0xfc35b4,0xbfe9cd20,74,63
162,0xfc35b7,0xbfe9cd1c,28,77
163,0xfc35ba,0xbfe9ccfc,47,3
164,0xfc35bd,0xbfe9cd24,196,76
165,0xfcc5fb,0xfcd852,126,65
166,0xfc35d2,0xbfe9cd14,69,52
167,0xfc35d5,0xbfe9cd00,73,6
168,0xfba76c,0xfd0fe8,16,2197
169,0xfca910,0xbfe9ccf4,50,44
170,0xfca913,0xbfe9ccf0,31,42
171,0xfca91d,0xbfe9cce8,84,1
172,0xfca92b,0xbfe9ccec,31,5
173,0xfba75c,0xfd0fe4,40,448
174,0xfca8e0,0xbfe9cce4,43,30
175,0xfca8e3,0xbfe9cce0,65,28
176,0xfca8ea,0xbfe9ccd4,74,1
177,0xfca8f5,0xbfe9ccd8,31,7
178,0xfca8fc,0xbfe9ccdc,908,8
179,0xfba74c,0xfd0fe0,41,448
180,0xfca7e0,0xbfe9ccd0,75,17
181,0xfca7e6,0xbfe9ccc4,118,13
182,0xfca7e9,0xbfe9ccc8,46,13
183,0xfca7ef,0xbfe9cccc,75,12
184,0xfca7f5,0xbfe9cca8,423,1
185,0xfca800,0xfd14b4,47,2
186,0xfca80a,0xfd0ca4,53,2389
187,0xfca833,0xfd14b8,40,447
188,0xfca83e,0xfd14b0,86,445
189,0xfc35ed,0xfd150c,199,28318
190,0xfc35f9,0xfd1514,115,1151
191,0xfc3608,0xbfe9cd04,71,3
192,0xfcca25,0xfd1744,114,1149
193,0xfcca2c,0xfcd853,0,299327
194,0xfcca2c,0xfd1745,0,299327
195,0xfc3615,0xfd1740,0,299327
196,0xfc361c,0xbfe9cd1c,27,764
197,0xfc3620,0xbfe9cd24,195,31
198,0xfc3623,0xfd1738,114,1134
199,0xfc3629,0xbfe9cd3c,484,13
200,0xfc362c,0xfd1678,37,3
201,0xfc3636,0xfd14fc,124,1118
202,0xfc3640,0xfd1660,12,1239
203,0xfc3654,0xbfe9cd44,49,7
204,0xfc3657,0xfd16b4,0,299327
205,0xfc3663,0xfd1510,7,1082
206,0xfc366c,0xfd16b8,29,103697
207,0xfc3672,0xfd1000,66,2
208,0xfc3675,0xbfe9cd18,29,11
209,0xfc3690,0xfd1004,16,1
210,0xfc3697,0xfd1198,15,1
211,0xfc369e,0xfd119c,15,1
212,0xfc36c4,0xbfe9cd40,163,1
213,0xfc36e5,0xfd16a4,104,103831
214,0xfc36f1,0xfd16bc,0,299327
215,0xfc36fc,0xbfe9cd13,0,299327
216,0xfc3790,0xbfe9cd28,34,158
217,0xfc3791,0xbfe9cd2c,33,156
218,0xfbb636,0xbfe9cf34,144,2
219,0xfbb642,0xbfe9d040,0,299327
220,0xfbb64b,0xbfe9d03c,9,7
221,0xfbb651,0xbfe9d068,1,115170
222,0xfbb653,0xfd164c,0,299327
223,0xfbb65a,0xfd1644,0,299327
224,0xfbb660,0xfd1648,0,299327
225,0xfbb678,0xfd16a0,3,37
226,0xfbb684,0xfd1674,3,1
227,0xfbb68a,0xfd169c,5,29
228,0xfbb692,0xfd1698,4,23
229,0xfbb6cc,0x8048034,0,299327
230,0xfbb754,0x804803c,0,299327
231,0xfbb762,0xfd14f8,52,7
232,0xfbb6cc,0x8048054,0,299327
233,0xfbbf81,0x804805c,0,299327
234,0xfbbf84,0xfd11dc,22,62
235,0xfbbf8c,0xfd11c8,0,299327
236,0xfbbf96,0xfd1444,20,766
237,0xfbbfca,0xbfe9cf2f,0,299327
238,0xfbb6cc,0x8048074,0,299327
239,0xfbc073,0x8048090,0,299327
240,0xfbc076,0x804807c,1,4
241,0xfbc097,0x8048088,0,299327
242,0xfbc0b0,0x804808c,0,299327
243,0xfbb6cc,0x8048094,0,299327
244,0xfbc073,0x80480b0,0,299327
245,0xfbc076,0x804809c,0,299327
246,0xfbc097,0x80480a8,0,299327
247,0xfbc0b0,0x80480ac,0,299327
248,0xfbb6cc,0x80480b4,0,299327
249,0xfbc03d,0x80480bc,0,299327
250,0xfbc044,0xfd1500,2,23
251,0xfbb6cc,0x80480d4,0,299327
252,0xfbb6cc,0x80480f4,0,299327
253,0xfbb6cc,0x8048114,0,299327
254,0xfbbe54,0x804812c,0,299327
255,0xfbbe57,0xfd1408,6,2518
256,0xfbb76f,0xfd1714,0,299327
257,0xfbb7df,0xbfe9cf2d,2,56
258,0xfbb802,0x805b440,1,892
259,0xfbb80d,0xfd151c,4,2
260,0xfbb802,0x805b448,1,2582
261,0xfbb802,0x805b450,1,4398
262,0xfbb802,0x805b458,1,6533
263,0xfbb802,0x805b460,1,8642
264,0xfbb80d,0xfd1548,0,299327
265,0xfbb802,0x805b468,1,8644
266,0xfbb80d,0xfd154c,0,299327
267,0xfbb802,0x805b470,1,8646
268,0xfbb80d,0xfd1528,0,299327
269,0xfbb802,0x805b478,1,8648
270,0xfbb80d,0xfd152c,229,710
271,0xfbb802,0x805b480,1,8650
272,0xfbb80d,0xfd1530,229,707
273,0xfbb802,0x805b488,1,8652
274,0xfbb80d,0xfd1540,0,299327
275,0xfbb802,0x805b490,1,8654
276,0xfbb80d,0xfd1544,0,299327
277,0xfbb802,0x805b498,1,8656
278,0xfbb80d,0xfd156c,2,699
279,0xfbb802,0x805b4a0,1,8658
280,0xfbb80d,0xfd1524,1,103574
281,0xfbb802,0x805b4a8,1,8660
282,0xfbb80d,0xfd1520,1,103594
283,0xfbb802,0x805b4b0,1,8662
284,0xfbb80d,0xfd1568,2,103586
285,0xfbb802,0x805b4b8,1,8664
286,0xfbb80d,0xfd1574,29,103563
287,0xfbb802,0x805b4c0,1,8666
288,0xfbb80d,0xfd155c,1,103573
289,0xfbb802,0x805b4c8,1,8668
290,0xfbb80d,0xfd1560,1,103576
291,0xfbb802,0x805b4d0,1,8670
292,0xfbb80d,0xfd1564,0,299327
293,0xfbb802,0x805b4d8,1,8672
294,0xfbb82c,0xfd15a4,3,674
295,0xfbb802,0x805b4e0,1,8674
296,0xfbb82c,0xfd15a0,0,299327
297,0xfbb802,0x805b4e8,1,8676
298,0xfbb82c,0xfd15dc,31,19370
299,0xfbb802,0x805b4f0,1,8678
300,0xfbb893,0xfd1590,0,299327
301,0xfbb8be,0xfd15b0,0,299327
302,0xfbb8de,0xfd158c,5,639
303,0xfbb8f7,0xbfe9cf90,69,666
304,0xfbb904,0xbfe9cf2d,1,169738
305,0xfbc0d7,0xfd0ed8,0,299327
306,0xfbf124,0xbfe9cd2c,32,639
307,0xfbf125,0xbfe9cd28,33,637
308,0xfbf129,0xbfe9cca8,420,1
309,0xfbf134,0xbfe9cd24,193,629
310,0xfbf137,0xfd0cb0,0,299327
311,0xfbf143,0xfd0cac,6,1152
312,0xfbf149,0xbfe9ccac,187,477
313,0xfca1b0,0xbfe9cca4,325,482
314,0xfca1b3,0xbfe9cca0,1492,480
315,0xfca1b4,0xbfe9cc9c,508,478
316,0xfca1b5,0xbfe9cc98,429,476
317,0xfca1b9,0xbfe9cc5c,61,1
318,0xfca1c4,0xbfe9cc90,160,161
319,0xfca1c7,0xfd0cdc,6,1201
320,0xfca1cf,0xbfe9cc94,78,156
321,0xfca1d2,0xfd0ce0,0,299327
322,0xfca1db,0xbfe9cc8c,73,175
323,0xfca208,0xfd0ce4,6,1198
324,0xfca225,0xbfe9cc78,152,158
325,0xfca235,0xbfe9cc84,100,135
326,0xfca258,0xbfe9cc74,248,2
327,0xfca26b,0xbfe9cc7c,154,4
328,0xfca282,0xbfe9cc50,167,121
329,0xfca285,0xbfe9cc38,448,2
330,0xfca288,0xbfe9cc34,381,5
331,0xfcc623,0xfd0db8,2,124
332,0xfcc639,0xfd0dbc,0,299327
333,0xfca294,0xbfe9cc54,128,18
334,0xfca2bd,0xbfe9cc58,64,88
335,0xfca2d7,0xbfe9cc60,18,65
336,0xfca2da,0xbfe9cc64,302,5
337,0xfca33b,0xfd0ef8,3,40
338,0xfba75c,0xfd0fe4,39,297
339,0xfca8e0,0xbfe9cc30,659,29
340,0xfca8e3,0xbfe9cc2c,775,27
341,0xfca8ea,0xbfe9cc20,630,1
342,0xfca8f5,0xbfe9cc24,609,7
343,0xfca8fc,0xbfe9cc28,685,8
344,0xfba74c,0xfd0fe0,40,297
345,0xfca7e0,0xbfe9cc1c,973,16
346,0xfca7e6,0xbfe9cc10,335,12
347,0xfca7e9,0xbfe9cc14,355,12
348,0xfca7ef,0xbfe9cc18,357,11
349,0xfca7f5,0xbfe9cbf4,33,1
350,0xfca800,0xfd14b4,45,297
351,0xfca851,0xfd14b0,85,2
352,0xfca833,0xfd14b8,39,297
353,0xfca345,0xbfe9cc88,86,4
354,0xfca369,0xfd1748,2,227
355,0xfca36b,0xfd1750,1,237
356,0xfca37a,0xbfe9cc80,130,221
357,0xfca385,0xbfe9cc70,214,20
358,0xfca39d,0xbfe9cc40,2468,5
359,0xfca3a8,0xbfe9cc3c,385,4
360,0xfcc9a5,0xfcdd5b,1,48
361,0xfcc9a5,0xfd1788,0,299327
362,0xfcc9aa,0xfcdd5c,1,48
363,0xfcc9aa,0xfd1789,0,299327
364,0xfcc9ac,0xfcdd5e,1,48
365,0xfcc9ac,0xfd178b,1,2
366,0xfca4fc,0xbfe9cc58,63,522
367,0xfcc9ac,0xbfe9d3db,24,894
368,0xfcc9ac,0xfd178c,0,299327
369,0xfca50b,0xfd1790,0,299327
370,0xfca3d7,0xbfe9cc54,126,34
371,0xfca3de,0xbfe9cc50,166,34
372,0xfcc9ac,0xfd0db8,1,34
373,0xfcc9ac,0xfd1791,0,299327
374,0xfca3ec,0xfd1795,0,299327
375,0xfcc9a5,0xfd1796,0,299327
376,0xfcc9aa,0xfd1797,0,299327
377,0xfcc9ac,0xfd1799,1,2
378,0xfcc9ac,0xfd179a,0,299327
379,0xfca3ec,0xfd179e,0,299327
380,0xfca40d,0xfd174c,8,22
381,0xfca40d,0xfd1754,4,27
382,0xfca40d,0xfd175c,4,32
383,0xfca40d,0xfd1764,2,37
384,0xfca40d,0xfd176c,4,71
385,0xfca40d,0xfd1774,2,76
386,0xfca40d,0xfd177c,2,115
387,0xfca40d,0xfd1784,0,299327
388,0xfca431,0xbfe9cc6c,158,3
389,0xfca474,0xbfe9cc80,129,10
390,0xfca48b,0xfd1748,1,8
391,0xfca490,0xfd1758,2,1
392,0xfca4a5,0xfd1760,1,14
393,0xfca4d1,0xfd1768,0,299327
394,0xfca4cb,0xfd1750,0,299327
395,0xfca4d1,0xfd1770,0,299327
396,0xfca4d1,0xfd1778,0,299327
397,0xfca4d1,0xfd1780,0,299327
398,0xfca4dc,0xbfe9ccac,186,10
399,0xfca4e5,0xfd0efc,0,299327
400,0xfca4ea,0xbfe9cc98,428,15
401,0xfca4eb,0xbfe9cc9c,507,15
402,0xfca4ec,0xbfe9cca0,1491,8
403,0xfca4ed,0xbfe9cca4,324,6
404,0xfbf157,0xfd0ef4,0,299327
405,0xfba75c,0xfd0fe4,38,37
406,0xfca8ea,0xbfe9cc94,75,1
407,0xfba74c,0xfd0fe0,39,37
408,0xfca7e0,0xbfe9cc90,158,16
409,0xfca7ef,0xbfe9cc8c,70,11
410,0xfca7f5,0xbfe9cc68,41,1
411,0xfca800,0xfd14b4,44,37
412,0xfca851,0xfd14b0,83,2
413,0xfca833,0xfd14b8,38,37
414,0xfbf16c,0xfd0f00,1,38
415,0xfbf17c,0xfd0ef8,1,42
416,0xfbf196,0xbfe9cd18,25,39
417,0xfbf1a6,0xfd17a0,2,2
418,0xfbf1be,0xfd11b8,1,66
419,0xfbf1cd,0xbfe9cd1c,26,9
420,0xfbf1d8,0xfd0f04,0,299327
421,0xfbf1e3,0xbfe9cd20,72,8
422,0xfbf1f0,0xbfe9ccdc,906,3
423,0xfbf1f3,0xbfe9cd14,67,22
424,0xfbf1fe,0xfd17b8,0,299327
425,0xfbf208,0xfd17b4,0,299327
426,0xfbf20e,0xfd17bc,0,299327
427,0xfbf211,0xfcce30,0,299327
428,0xfbf21b,0xfd17c0,0,299327
429,0xfbf232,0xfd17c4,0,299327
430,0xfbf232,0xfd17c8,0,299327
431,0xfbf232,0xfd17cc,0,299327
432,0xfbf232,0xfd17d0,0,299327
433,0xfbf232,0xfd17d4,0,299327
434,0xfbf232,0xfd17d8,0,299327
435,0xfbf232,0xfd17dc,0,299327
436,0xfbf232,0xfd17e0,0,299327
437,0xfbf250,0xfd17b0,0,299327
438,0xfbf1f6,0xfd17a4,0,299327
439,0xfbf1fe,0xfd17f4,0,299327
440,0xfbf208,0xfd17f0,0,299327
441,0xfbf20e,0xfd17f8,0,299327
442,0xfbf211,0xfcce34,0,299327
443,0xfbf21b,0xfd17fc,0,299327
444,0xfbf232,0xfd1800,0,299327
445,0xfbf232,0xfd1804,0,299327
446,0xfbf232,0xfd1808,0,299327
447,0xfbf232,0xfd180c,0,299327
448,0xfbf232,0xfd1810,0,299327
449,0xfbf232,0xfd1814,0,299327
450,0xfbf232,0xfd1818,0,299327
451,0xfbf232,0xfd181c,0,299327
452,0xfbf250,0xfd17ec,0,299327
453,0xfbf256,0xfd17a8,0,299327
454,0xfbf261,0xfd1468,0,299327
455,0xfbf267,0xfd1000,63,293
456,0xfbf271,0xfd158c,4,416
457,0xfbf284,0xfd16d4,4,431
458,0xfbf28a,0xfd1554,0,299327
459,0xfbf29a,0xfd1684,8,416
460,0xfbf2a0,0xbfe9cd24,192,154
461,0xfbf3c1,0xfd11b8,0,299327
462,0xfbf3cc,0xfd0eec,6,421
463,0xfbf3d2,0xfd0e18,0,299327
464,0xfbf3db,0xbfe9cd28,32,142
465,0xfbf3dc,0xbfe9cd2c,31,140
466,0xfbf3dd,0xbfe9cd30,41,138
467,0xfbf3de,0xbfe9cd34,48,119
468,0xfbb911,0xfd11c4,21,3
469,0xfbb91b,0xfd11dc,20,336
470,0xfbb921,0xfd1444,19,336
471,0xfbb929,0xfd1340,31,3
472,0xfbb938,0xfd1004,14,1
473,0xfbb94f,0xbfe9ce10,106,17342
474,0xfbb95b,0xfd1198,13,1
475,0xfbb962,0xfd15a4,2,111
476,0xfbb968,0xfd119c,13,1
477,0xfbb96f,0xfd1504,46,302
478,0xfbb974,0xfd11d0,3,17309
479,0xfbb980,0xbfe9cf90,68,111
480,0xfbb990,0xfd1634,1,27159
481,0xfbb9a4,0xfd156c,1,27175
482,0xfbb9af,0xbfe9ceab,1,70
483,0xfbb9b6,0xfd1530,228,27446
484,0xfbb9bb,0xfd152c,228,157
485,0xfbb9be,0x805b484,228,27446
486,0xfbb9c1,0xfd1664,198,27453
487,0xfbb9c7,0xbfe9cea4,191,14
488,0xfbb9cd,0x805b47c,228,154
489,0xfbb9d5,0xbfe9cde8,316,34
490,0xfbb9e1,0xbfe9cea0,92,11
491,0xfbb9eb,0xfd1668,198,27445
492,0xfbb9f1,0xbfe9cde4,75,29
493,0xfbb9f7,0x804823c,3,30836
494,0xfbb9fc,0xbfe9ce9c,80,5
495,0xfbba15,0xbfe9ce04,283,8
496,0xfbba1b,0xfd166c,323,30
497,0xfbba21,0xbfe9cde0,84,9
498,0xfbba67,0x8048688,3,30835
499,0xfbba6a,0xbfe9ce98,266,11
500,0xfbba78,0x80490ef,3,30840
501,0xfbba3c,0x8048360,2,30842
502,0xfbba67,0x8048558,0,299327
503,0xfbba78,0x8049064,0,299327
504,0xfbba3c,0x8048314,2,30839
505,0xfbc0fa,0x80482f0,2,33973
506,0xfbc0ff,0xbfe9cdbc,67,5
507,0xfbc118,0xbfe9ce00,163,8
508,0xfbc124,0xbfe9cdb8,24,9
509,0xfbc167,0x8048b38,0,299327
510,0xfbc16a,0xbfe9ce94,114,11
511,0xfbc178,0x8048cbd,0,299327
512,0xfbc13c,0x804848c,2,33966
513,0xfbc167,0x80486d8,1,172369
514,0xfbc178,0x8048ff3,2,172386
515,0xfbc13c,0x8048374,2,33963
516,0xfbc1d4,0xbfe9ceab,0,299327
517,0xfbbab4,0xfd0e04,7,3
518,0xfbc1a9,0xfd14f8,46,17341
519,0xfbbac1,0xfd1360,0,299327
520,0xfbbac7,0xfba01c,0,299327
521,0xfbbacc,0xfba02c,1,3
522,0xfbbad2,0xfd130c,0,299327
523,0xfbbad8,0xfd1314,0,299327
524,0xfbbaf7,0xfba0d4,0,299327
525,0xfbccfe,0xfba0dc,0,299327
526,0xfbcd02,0xfd13f8,1,114138
527,0xfbcd08,0xfba0e8,0,299327
528,0xfbcd0c,0xfd13fc,2,114127
529,0xfbbb10,0xbfe9ce90,136,23
530,0xfbbb16,0xfd0edc,0,299327
531,0xfbbb1c,0xbfe9ce8c,85,20
532,0xfbbb35,0xbfe9cd40,160,4
533,0xfbbb39,0xbfe9cdf8,178,114547
534,0xfbbb3f,0xbfe9cd3c,480,3
535,0xfcb9db,0xbfe9cd34,47,1
536,0xfcb9ea,0xfd14dc,17,40
537,0xfbbb55,0xfd15a4,1,17305
538,0xfbbb63,0xfd11cc,34,247
539,0xfbbb71,0xfd0e28,2,115722
540,0xfbbb79,0xbfe9ce84,97,17223
541,0xfbc436,0xbfe9cf90,67,17212
542,0xfc5223,0xbfe9cd30,40,17138
543,0xfc5224,0xbfe9cd2c,30,17136
544,0xfc5225,0xbfe9cd28,31,17134
545,0xfc522c,0xbfe9ccf4,48,2
546,0xfc5232,0xbfe9ccec,28,14
547,0xfc523f,0xbfe9ccf0,29,17256
548,0xfc5251,0xbfe9cc50,164,28
549,0xfc525a,0xbfe9cd24,191,13
550,0xfc525d,0xbfe9cc58,62,16
551,0xfc5260,0xfd1678,35,5
552,0xfc526e,0xbfe9cc30,657,1
553,0xfc5286,0xbfe9cce0,63,1
554,0xfc52de,0xbfe9ccd8,29,17111
555,0xfc52fb,0xbfe9cce8,79,6
556,0xfc530d,0xbfe9cce4,41,1706
557,0xfc5310,0xbfe9ccdc,903,16514
558,0xfc531f,0xbfe9ccd0,73,1713
559,0xfc532c,0xbfe9cccc,73,7864
560,0xfc533c,0xfd1650,226,16553
561,0xfc5342,0xbfe9ccd4,69,3
562,0xfc5349,0xfd16dc,14,16508
563,0xfc5391,0xfd151c,0,299327
564,0xfc53b9,0xfd152c,227,17235
565,0xfc53bc,0x805b47c,227,17245
566,0xfc53c2,0xbfe9cd04,69,76
567,0xfc53c5,0xbfe9ccc8,44,9
568,0xfc53c8,0xbfe9cd0c,34,7867
569,0xfc53cb,0xfd1500,0,299327
570,0xfc53ce,0xbfe9cd08,57,70
571,0xfc53d1,0xbfe9cd00,69,65
572,0xfc53d4,0xbfe9ccc0,688,3
573,0xfc53d7,0x805b440,0,299327
574,0xfc53d9,0xbfe9ccc4,116,7867
575,0xfc53f5,0x805b444,0,299327
576,0xfcc450,0xbfe9cc2c,773,8
577,0xfcc467,0x8048c69,20,94
578,0xfcc47e,0x8048c6a,13,165
579,0xfcc495,0x8048c6b,11,178
580,0xfcc4b3,0x8048c6c,12,178
581,0xfcc4f1,0x8048c70,5,178
582,0xfc5410,0xbfe9cd10,65,46
583,0xfc6483,0xbfe9cc28,683,1650
584,0xfc648a,0xbfe9cb60,1783,1644
585,0xfc6492,0xbfe9cb58,492,33
586,0xfc6498,0xbfe9cb40,584,1
587,0xfc64a3,0xbfe9cb5c,351,1641
588,0xfc64a9,0xbfe9cb68,84,1714
589,0xfc64af,0xfd11bc,16,1692
590,0xfba8e0,0xbfe9cb3c,605,1
591,0xfc64b5,0xbfe9cb54,2787,15
592,0xfc64bb,0xfd1440,45,16
593,0xfc64c3,0xbfe9cb44,983,3
594,0xfc64c6,0xbfe9cc20,625,1624
595,0xfcc296,0xbfe9cb6c,83,175105
596,0xfcc299,0xbfe9cb70,395,17322
597,0xfcc29c,0xbfe9cb74,522,17348
598,0xfcc2a3,0xbfe9cb7c,282,185972
599,0xfcc2aa,0xbfe9cb80,809,27763
600,0xfcc2ad,0xbfe9cb78,388,17343
601,0xfcc2b0,0xbfe9cb84,250,175693
602,0xfc5143,0xbfe9cb38,646,1602
603,0xfc5144,0xbfe9cb34,436,1600
